id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SLTP,14384.0,ORANG,2011
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SLTA,13417.0,ORANG,2011
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD KE BAWAH,39322.0,ORANG,2011
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,SLTP,27572.0,ORANG,2011
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,SLTA,26972.0,ORANG,2011
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD KE BAWAH,9817.0,ORANG,2011
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SLTP,13039.0,ORANG,2011
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SLTA,18587.0,ORANG,2011
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD KE BAWAH,9745.0,ORANG,2011
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SLTP,10249.0,ORANG,2011
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SLTA,19961.0,ORANG,2011
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD KE BAWAH,34178.0,ORANG,2011
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SLTP,15042.0,ORANG,2011
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SLTA,29798.0,ORANG,2011
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD KE BAWAH,19736.0,ORANG,2011
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,SLTP,29736.0,ORANG,2011
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,SLTA,12984.0,ORANG,2011
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD KE BAWAH,13156.0,ORANG,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SLTP,9161.0,ORANG,2011
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SLTA,13340.0,ORANG,2011
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD KE BAWAH,48081.0,ORANG,2011
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SLTP,28414.0,ORANG,2011
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SLTA,21925.0,ORANG,2011
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD KE BAWAH,51362.0,ORANG,2011
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,SLTP,24957.0,ORANG,2011
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,SLTA,46710.0,ORANG,2011
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD KE BAWAH,22902.0,ORANG,2011
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SLTP,17508.0,ORANG,2011
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SLTA,21458.0,ORANG,2011
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD KE BAWAH,0.0,ORANG,2011
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SLTP,0.0,ORANG,2011
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SLTA,0.0,ORANG,2011
55,32,JAWA BARAT,3271,KOTA BOGOR,SD KE BAWAH,6789.0,ORANG,2011
56,32,JAWA BARAT,3271,KOTA BOGOR,SLTP,11132.0,ORANG,2011
57,32,JAWA BARAT,3271,KOTA BOGOR,SLTA,27064.0,ORANG,2011
58,32,JAWA BARAT,3272,KOTA SUKABUMI,SD KE BAWAH,4263.0,ORANG,2011
59,32,JAWA BARAT,3272,KOTA SUKABUMI,SLTP,3507.0,ORANG,2011
60,32,JAWA BARAT,3272,KOTA SUKABUMI,SLTA,5691.0,ORANG,2011
61,32,JAWA BARAT,3273,KOTA BANDUNG,SD KE BAWAH,23280.0,ORANG,2011
62,32,JAWA BARAT,3273,KOTA BANDUNG,SLTP,21250.0,ORANG,2011
63,32,JAWA BARAT,3273,KOTA BANDUNG,SLTA,72268.0,ORANG,2011
64,32,JAWA BARAT,3274,KOTA CIREBON,SD KE BAWAH,2295.0,ORANG,2011
65,32,JAWA BARAT,3274,KOTA CIREBON,SLTP,3390.0,ORANG,2011
66,32,JAWA BARAT,3274,KOTA CIREBON,SLTA,8595.0,ORANG,2011
67,32,JAWA BARAT,3275,KOTA BEKASI,SD KE BAWAH,11881.0,ORANG,2011
68,32,JAWA BARAT,3275,KOTA BEKASI,SLTP,23438.0,ORANG,2011
69,32,JAWA BARAT,3275,KOTA BEKASI,SLTA,80971.0,ORANG,2011
70,32,JAWA BARAT,3276,KOTA DEPOK,SD KE BAWAH,13571.0,ORANG,2011
71,32,JAWA BARAT,3276,KOTA DEPOK,SLTP,18317.0,ORANG,2011
72,32,JAWA BARAT,3276,KOTA DEPOK,SLTA,54499.0,ORANG,2011
73,32,JAWA BARAT,3277,KOTA CIMAHI,SD KE BAWAH,5323.0,ORANG,2011
74,32,JAWA BARAT,3277,KOTA CIMAHI,SLTP,6238.0,ORANG,2011
75,32,JAWA BARAT,3277,KOTA CIMAHI,SLTA,14435.0,ORANG,2011
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD KE BAWAH,7040.0,ORANG,2011
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SLTP,3944.0,ORANG,2011
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SLTA,14541.0,ORANG,2011
79,32,JAWA BARAT,3279,KOTA BANJAR,SD KE BAWAH,462.0,ORANG,2011
80,32,JAWA BARAT,3279,KOTA BANJAR,SLTP,1075.0,ORANG,2011
81,32,JAWA BARAT,3279,KOTA BANJAR,SLTA,3983.0,ORANG,2011
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,15661.0,ORANG,2012
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,60646.0,ORANG,2012
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,57873.0,ORANG,2012
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,60209.0,ORANG,2012
86,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4560.0,ORANG,2012
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,5859.0,ORANG,2012
88,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,45443.0,ORANG,2012
89,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,30300.0,ORANG,2012
90,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,20040.0,ORANG,2012
91,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1801.0,ORANG,2012
92,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,12543.0,ORANG,2012
93,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,56229.0,ORANG,2012
94,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,30511.0,ORANG,2012
95,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,10202.0,ORANG,2012
96,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4661.0,ORANG,2012
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8464.0,ORANG,2012
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD,47288.0,ORANG,2012
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,60857.0,ORANG,2012
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA,53532.0,ORANG,2012
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3434.0,ORANG,2012
102,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2730.0,ORANG,2012
103,32,JAWA BARAT,3205,KABUPATEN GARUT,SD,13503.0,ORANG,2012
104,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,21689.0,ORANG,2012
105,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA,25891.0,ORANG,2012
106,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2012
107,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,519.0,ORANG,2012
108,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD,16952.0,ORANG,2012
109,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,15705.0,ORANG,2012
110,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA,7564.0,ORANG,2012
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1034.0,ORANG,2012
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,0.0,ORANG,2012
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD,16508.0,ORANG,2012
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,13388.0,ORANG,2012
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA,9936.0,ORANG,2012
116,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1934.0,ORANG,2012
117,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,514.0,ORANG,2012
118,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD,8438.0,ORANG,2012
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMP,12612.0,ORANG,2012
120,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA,12305.0,ORANG,2012
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,739.0,ORANG,2012
122,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,31268.0,ORANG,2012
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD,38000.0,ORANG,2012
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,42654.0,ORANG,2012
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA,30147.0,ORANG,2012
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3565.0,ORANG,2012
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2385.0,ORANG,2012
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD,19015.0,ORANG,2012
129,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,5593.0,ORANG,2012
130,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA,11115.0,ORANG,2012
131,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1949.0,ORANG,2012
132,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,446.0,ORANG,2012
133,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,8948.0,ORANG,2012
134,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,12169.0,ORANG,2012
135,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA,16982.0,ORANG,2012
136,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,561.0,ORANG,2012
137,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,15615.0,ORANG,2012
138,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD,16636.0,ORANG,2012
139,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,14774.0,ORANG,2012
140,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA,13650.0,ORANG,2012
141,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,874.0,ORANG,2012
142,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2386.0,ORANG,2012
143,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD,14994.0,ORANG,2012
144,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,23489.0,ORANG,2012
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA,18814.0,ORANG,2012
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,664.0,ORANG,2012
147,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,9128.0,ORANG,2012
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD,10659.0,ORANG,2012
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,9235.0,ORANG,2012
150,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA,9332.0,ORANG,2012
151,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2012
152,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8884.0,ORANG,2012
153,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD,24831.0,ORANG,2012
154,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,40981.0,ORANG,2012
155,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA,41669.0,ORANG,2012
156,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2012
157,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,7250.0,ORANG,2012
158,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD,21396.0,ORANG,2012
159,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,34651.0,ORANG,2012
160,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA,22732.0,ORANG,2012
161,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,7346.0,ORANG,2012
162,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1680.0,ORANG,2012
163,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD,16686.0,ORANG,2012
164,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,22651.0,ORANG,2012
165,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA,21138.0,ORANG,2012
166,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3402.0,ORANG,2012
167,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,0.0,ORANG,2012
168,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD,0.0,ORANG,2012
169,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,0.0,ORANG,2012
170,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA,0.0,ORANG,2012
171,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2012
172,32,JAWA BARAT,3271,KOTA BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2063.0,ORANG,2012
173,32,JAWA BARAT,3271,KOTA BOGOR,SD,5226.0,ORANG,2012
174,32,JAWA BARAT,3271,KOTA BOGOR,SMP,5764.0,ORANG,2012
175,32,JAWA BARAT,3271,KOTA BOGOR,SMA,20900.0,ORANG,2012
176,32,JAWA BARAT,3271,KOTA BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5464.0,ORANG,2012
177,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,658.0,ORANG,2012
178,32,JAWA BARAT,3272,KOTA SUKABUMI,SD,4476.0,ORANG,2012
179,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,1692.0,ORANG,2012
180,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA,6122.0,ORANG,2012
181,32,JAWA BARAT,3272,KOTA SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1433.0,ORANG,2012
182,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8161.0,ORANG,2012
183,32,JAWA BARAT,3273,KOTA BANDUNG,SD,8609.0,ORANG,2012
184,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,23750.0,ORANG,2012
185,32,JAWA BARAT,3273,KOTA BANDUNG,SMA,57107.0,ORANG,2012
186,32,JAWA BARAT,3273,KOTA BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,9757.0,ORANG,2012
187,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1925.0,ORANG,2012
188,32,JAWA BARAT,3274,KOTA CIREBON,SD,2243.0,ORANG,2012
189,32,JAWA BARAT,3274,KOTA CIREBON,SMP,3498.0,ORANG,2012
190,32,JAWA BARAT,3274,KOTA CIREBON,SMA,7101.0,ORANG,2012
191,32,JAWA BARAT,3274,KOTA CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1889.0,ORANG,2012
192,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1684.0,ORANG,2012
193,32,JAWA BARAT,3275,KOTA BEKASI,SD,1672.0,ORANG,2012
194,32,JAWA BARAT,3275,KOTA BEKASI,SMP,8694.0,ORANG,2012
195,32,JAWA BARAT,3275,KOTA BEKASI,SMA,63857.0,ORANG,2012
196,32,JAWA BARAT,3275,KOTA BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,17769.0,ORANG,2012
197,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,3106.0,ORANG,2012
198,32,JAWA BARAT,3276,KOTA DEPOK,SD,15104.0,ORANG,2012
199,32,JAWA BARAT,3276,KOTA DEPOK,SMP,11379.0,ORANG,2012
200,32,JAWA BARAT,3276,KOTA DEPOK,SMA,44000.0,ORANG,2012
201,32,JAWA BARAT,3276,KOTA DEPOK,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4500.0,ORANG,2012
202,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1057.0,ORANG,2012
203,32,JAWA BARAT,3277,KOTA CIMAHI,SD,2758.0,ORANG,2012
204,32,JAWA BARAT,3277,KOTA CIMAHI,SMP,3056.0,ORANG,2012
205,32,JAWA BARAT,3277,KOTA CIMAHI,SMA,10888.0,ORANG,2012
206,32,JAWA BARAT,3277,KOTA CIMAHI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3390.0,ORANG,2012
207,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1832.0,ORANG,2012
208,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD,4979.0,ORANG,2012
209,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMP,1077.0,ORANG,2012
210,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA,9926.0,ORANG,2012
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2935.0,ORANG,2012
212,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,279.0,ORANG,2012
213,32,JAWA BARAT,3279,KOTA BANJAR,SD,284.0,ORANG,2012
214,32,JAWA BARAT,3279,KOTA BANJAR,SMP,1370.0,ORANG,2012
215,32,JAWA BARAT,3279,KOTA BANJAR,SMA,2615.0,ORANG,2012
216,32,JAWA BARAT,3279,KOTA BANJAR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,519.0,ORANG,2012
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,24128.0,ORANG,2013
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,61777.0,ORANG,2013
219,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,42551.0,ORANG,2013
220,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,51264.0,ORANG,2013
221,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2408.0,ORANG,2013
222,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,13395.0,ORANG,2013
223,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,39742.0,ORANG,2013
224,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,36470.0,ORANG,2013
225,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,15471.0,ORANG,2013
226,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4338.0,ORANG,2013
227,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,10577.0,ORANG,2013
228,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,57541.0,ORANG,2013
229,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,41115.0,ORANG,2013
230,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,33684.0,ORANG,2013
231,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2615.0,ORANG,2013
232,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,11316.0,ORANG,2013
233,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD,27216.0,ORANG,2013
234,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,59213.0,ORANG,2013
235,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA,58771.0,ORANG,2013
236,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1978.0,ORANG,2013
237,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,7678.0,ORANG,2013
238,32,JAWA BARAT,3205,KABUPATEN GARUT,SD,17276.0,ORANG,2013
239,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,26994.0,ORANG,2013
240,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA,28498.0,ORANG,2013
241,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1276.0,ORANG,2013
242,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,4179.0,ORANG,2013
243,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD,16916.0,ORANG,2013
244,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,20485.0,ORANG,2013
245,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA,11582.0,ORANG,2013
246,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,658.0,ORANG,2013
247,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,656.0,ORANG,2013
248,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD,10752.0,ORANG,2013
249,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,14609.0,ORANG,2013
